yearterm,subject,crse,sec,onlineFCQ,bd_continuing_education,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructor_overall,instructor_overall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,courseOverall_old,courseOverall_SD_old,instrOverall_old,instrOverall_SD_old,r_Fair,r_Access,workload,r_Divstu,r_Diviss,r_Presnt,r_Explan,r_Assign,r_Motiv,r_Learn,r_Complx,campus,college,aSdiv,level,fcqdept,instructor_group,i_Num
20137,PHIL,1440,001,,,LEE, ERIC,33,21,1,4.3330078125,0.7957763671875,5.0947265625,0.8890380859375,4-6,4.046875,4.5712890625,5.666015625,4.80859375,4.4755859375,6,INTRODUCTORY LOGIC,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1440,002,,,LEE, ERIC,33,26,1,4.2685546875,1.45751953125,5,1.019775390625,4-6,4.4228515625,4.576171875,5.69140625,4.6533203125,4.5,5.845703125,INTRODUCTORY LOGIC,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1600,100,,,MORRISTON, WESLEY,144,90,0.98876953125,5.16796875,1.035888671875,5.6015625,0.795654296875,4-6,4.4599609375,5.36328125,5.2470703125,4.796875,4.9765625,5.783203125,PHILOSOPHY AND RELIGION,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,1600,101,,,BROCKMAN, AMANDA,24,15,1,4.599609375,1.549072265625,5.4658203125,0.7431640625,4-6,4.3330078125,5,5.4658203125,3.93310546875,4.19921875,6,PHILOSOPHY AND RELIGION,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1600,104,,,BROCKMAN, AMANDA,23,14,1,4.5,1.16015625,5.2138671875,0.69921875,4-6,3.642578125,4.927734375,5.427734375,4.2138671875,4.5,5.8564453125,PHILOSOPHY AND RELIGION,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1600,105,,,BROCKMAN, AMANDA,25,14,1,4.8564453125,1.027099609375,5.5,0.650390625,4-6,4.28515625,5.142578125,5.7138671875,5.0712890625,4.927734375,6,PHILOSOPHY AND RELIGION,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1600,106,,,THOMAS-SMITH, LISA,35,23,1,4.564453125,1.408447265625,5.173828125,0.777587890625,4-6,4.408203125,4.912109375,5.216796875,4.73828125,4.6083984375,5.8251953125,PHILOSOPHY AND RELIGION,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1600,107,,,THOMAS-SMITH, LISA,37,29,1,5.171875,0.88916015625,5.3095703125,0.7607421875,4-6,4.4482421875,4.8564453125,4.96484375,4.55078125,5,5.689453125,PHILOSOPHY AND RELIGION,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1600,880,,,MORRISTON, WESLEY,16,14,1,4.642578125,1.27734375,5.28515625,1.138671875,4-6,4,4.78515625,5.5712890625,4.8564453125,4.78515625,5.8564453125,PHILOSOPHY AND RELIGION,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,2140,001,,,PURVES, DUNCAN,28,18,1,5.6103515625,0.607666015625,5.8330078125,0.3834228515625,4-6,4.9443359375,5.7216796875,5.7216796875,4.5546875,5.3330078125,5.9443359375,ENVIRONMENTAL JUSTICE,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,2140,002,,,PURVES, DUNCAN,27,19,1,5.3154296875,0.6710205078125,5.578125,0.60693359375,4-6,4.666015625,5.2626953125,5.3681640625,4.525390625,5.2626953125,5.7890625,ENVIRONMENTAL JUSTICE,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,2200,001,OL,,HUEMER, MICHAEL,37,19,1,4.3681640625,1.57080078125,4.4208984375,1.865234375,4-6,4.2099609375,3.947265625,4.27734375,3.841796875,4.525390625,5,MAJOR SOCIAL THEORIES,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,2200,880,OL,,HUEMER, MICHAEL,15,11,1,3.181640625,1.833984375,3.36328125,1.91162109375,7-9,4.36328125,2.54541015625,3.36328125,3.72705078125,3.72705078125,5.36328125,MAJOR SOCIAL THEORIES,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,2220,001,,,CHAN, REBECCA,35,24,1,4.625,1.055419921875,4.9580078125,1.16015625,4-6,4.4580078125,4.875,5.2080078125,4.173828125,4.666015625,5.75,PHILOSOPHY & LAW,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,2220,002,,,CHAN, REBECCA,34,25,1,5.0390625,0.8887939453125,5.3994140625,0.912841796875,4-6,4.6396484375,4.83984375,5.5595703125,4.439453125,4.759765625,6,PHILOSOPHY & LAW,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,2290,001,,,WARREN, KACEY,33,28,1,4.642578125,1.311279296875,5.03515625,1.201171875,4-6,3.8212890625,4.5712890625,5.0712890625,4.3564453125,4.5712890625,5.703125,PHILOSOPHY AND WOMEN,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,2290,002,,,WARREN, KACEY,32,25,1,4.51953125,1.122314453125,4.919921875,1.151611328125,4-6,3.599609375,4.759765625,4.919921875,4.2392578125,4.5830078125,5.759765625,PHILOSOPHY AND WOMEN,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,2440,002,,,KOPEC, MATTHEW,31,24,1,5.041015625,0.858642578125,5.7080078125,0.5499267578125,7-9,3.79150390625,5.2080078125,5.5,4.869140625,5,5.9580078125,SYMBOLIC LOGIC,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,2440,003,,,KOPEC, MATTHEW,36,23,1,5.2607421875,0.8099365234375,5.7822265625,0.5184326171875,4-6,3.521484375,5.2607421875,5.564453125,5.2607421875,5.390625,6,SYMBOLIC LOGIC,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,2750,001,,,ZIMMERMAN, MICHAEL,28,28,1,5.25,0.8870849609375,5.5,0.8818359375,7-9,4.53515625,5.25,5.677734375,4.677734375,4.8564453125,5.892578125,PHILOSOPHY AND SCIENCE F,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,3000,001,,,LEE, MI-KYOUNG,39,36,1,4.75,1.10498046875,5.2216796875,1.01708984375,4-6,4.1943359375,4.7216796875,5.388671875,4.888671875,4.888671875,6,HIST/ANCIENT PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,UD,PHIL,TTT,1
20137,PHIL,3000,003,,,LEE, MI-KYOUNG,40,30,1,4.56640625,1.1650390625,5.232421875,0.9713134765625,7-9,4.06640625,4.9326171875,5.3330078125,4.8994140625,4.9658203125,6,HIST/ANCIENT PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,UD,PHIL,TTT,1
20137,PHIL,3010,002,,,KAUFMAN, DANIEL,36,26,1,5.115234375,0.951904296875,5.4609375,0.9046630859375,4-6,4.3837890625,5.3837890625,4.5,5,5.19140625,5.8076171875,HIST/MODERN PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,UD,PHIL,TTT,1
20137,PHIL,3100,001,,,NORCROSS, ALASTAIR,40,26,1,4.19140625,1.3271484375,4.69140625,1.225341796875,4-6,4.2685546875,4.4609375,4.576171875,4.115234375,4.23046875,5.0380859375,ETHICAL THEORY,,,,,,,,,,,,,,,,BD,AS,AH,UD,PHIL,TTT,1
20137,PHIL,3140,002,,,PURVES, DUNCAN,51,32,1,5.34375,0.93701171875,5.40625,1.316162109375,4-6,4.65625,5.375,5.5478515625,4.4375,5.03125,5.65625,ENVIRONMENTAL ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,UD,PHIL,OTH,1
20137,PHIL,3140,003,,,STURGIS, DANIEL,33,27,1,4.888671875,0.9739990234375,5.4072265625,0.7969970703125,4-6,4.1474609375,5.1474609375,5.3837890625,4.77734375,4.591796875,5.92578125,ENVIRONMENTAL ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,UD,PHIL,OTH,1
20137,PHIL,3140,004,,,YOUKEY, DAVID,33,27,1,5.2958984375,0.868896484375,5.5546875,0.8472900390625,4-6,4.4072265625,5.3701171875,5.2587890625,4.1103515625,5.1474609375,5.888671875,ENVIRONMENTAL ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,UD,PHIL,OTH,1
20137,PHIL,3140,006,,,YOUKEY, DAVID,38,34,1,5.4111328125,0.65673828125,5.4697265625,0.6146240234375,4-6,4.5,5.5,5.205078125,4.3818359375,5.1171875,5.9111328125,ENVIRONMENTAL ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,UD,PHIL,OTH,1
20137,PHIL,3140,007,,,KOPEC, MATTHEW,38,32,1,4.875,1.156982421875,5.4833984375,1.09130859375,7-9,3.5625,5.1875,5.53125,4.78125,4.6875,5.90625,ENVIRONMENTAL ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,UD,PHIL,OTH,1
