yearterm,subject,crse,sec,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructor_overall,instructor_overall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,campus,college,instructor_group
20121,CSCI,4753,2,GRUNWALD,DIRK,31,18,100%,4.5,1.1,5,1.3,7-9,3.8,4.4,4.3,4.6,4.5,5.9,COMP PERFORM MODELING,BD,EN,TTT
20121,CSCI,4810,2,GOLDBERG,DEBRA,3,2,100%,6,0,6,0,0-3,4.5,5,6,4.5,5,6,SEM:  COMPUTATIONAL BIOL,BD,EN,TTT
20121,CSCI,4830,1,KING,ROGER,12,7,100%,5.1,0.7,5.4,0.5,7-9,5.4,5.1,5.7,4.4,5.1,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20121,CSCI,4830,2,SCHREUDER,WILLEM,23,15,100%,5.7,0.8,5.7,0.8,10-12,5.9,5.9,5.5,5.3,5.3,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,OTH
20121,CSCI,4830,3,LV,QIN,32,20,100%,4.8,1,5,1,10-12,4.8,4.9,5.4,4.6,4.6,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20121,CSCI,4830,4,CORRELL,NIKOLAUS,14,6,100%,4.8,0.8,5.2,0.8,7-9,4.5,5.3,5.3,5.2,4.7,6,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20121,CSCI,4830,11,EISENBERG,MICHAEL,13,11,100%,5.8,0.4,6,0,10-12,5,5.7,6,4.8,5.1,6,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20121,CSCI,4830,13,REPENNING,ALEX,20,15,100%,4.4,1,4.6,1.3,7-9,4.9,4.4,4.4,3.7,4.3,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,OTH
20121,CSCI,4830,801,SMITH,JOHN,6,5,100%,5.6,0.9,6,0,4-6,6,5.8,5.6,5.4,5.4,6,SPEC TPCS IN COMPUTER SC,BD,EN,OTH
20121,CSCI,5454,1,CLAUSET,AARON,38,37,100%,4.9,0.7,4.9,0.9,13-15,5.2,4.9,4.9,5.5,4.8,5.8,DESIGN ANLYS OF ALGOS,BD,EN,TTT
20121,CSCI,5636,2,CAI,XIAO,6,3,100%,6,0,6,0,7-9,5.7,6,6,6,6,6,NUM SOL PART DIF EQUAT,BD,EN,TTT
20121,CSCI,5673,2,MISHRA,SHIVAKANT,23,20,100%,4.3,1.5,4.5,1.5,10-12,4.8,4.3,4.7,4.6,4.4,5.8,DISTRIBUTED SYSTEMS,BD,EN,TTT
20121,CSCI,5817,1,KING,ROGER,19,14,100%,3.9,1.6,4,1.5,4-6,4.1,4.1,5,3.3,3.6,6,DATABASE SYSTEMS,BD,EN,TTT
