yearterm,subject,crse,sec,onlineFCQ,bd_continuing_education,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructoroverall,instructoroverall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,courseOverall_old,courseOverall_SD_old,instrOverall_old,instrOverall_SD_old,r_Fair,r_Access,workload,r_Divstu,r_Diviss,r_Presnt,r_Explan,r_Assign,r_Motiv,r_Learn,r_Complx,campus,college,aSdiv,level,fcqdept,instructor_group,i_Num
20137,MATH,1071,032,OL,,LIU,XIAORONG,30,12,1,3.25,1.712158203125,2.41650390625,1.729736328125,4-6,3.16650390625,2.25,2.8330078125,3.16650390625,2.5,5.166015625,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,033,OL,,LIU,XIAORONG,30,15,1,2.599609375,1.453857421875,2.13330078125,1.355712890625,0-3,2.533203125,1.866455078125,2.39990234375,2.93310546875,2.8662109375,4.533203125,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,034,OL,,JACK,TREVOR,28,9,1,4,1,5.2216796875,0.9718017578125,4-6,2.888671875,4.25,3.77734375,3.888671875,4,5.666015625,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,040,OL,,ANGEL,EITAN,118,57,1,3.7890625,1.4482421875,3.80322265625,1.64501953125,4-6,3.3857421875,3.3330078125,3.859375,3.56103515625,3.4384765625,5.3505859375,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1071,041,OL,,MATSON,CAROLINE,29,14,1,3.7138671875,1.772705078125,3.642578125,1.645751953125,4-6,3.35693359375,3.35693359375,4.3564453125,3.69189453125,3.642578125,5.5,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,042,OL,,MATSON,CAROLINE,29,13,1,3.46142578125,1.807861328125,4,1.68310546875,0-3,3.46142578125,3.38427734375,3.76904296875,3.38427734375,2.9228515625,4.7685546875,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,043,OL,,MATSON,CAROLINE,30,14,1,3.642578125,1.150634765625,4.927734375,0.9971923828125,4-6,3.35693359375,4.5712890625,4.8564453125,3.5712890625,3.5,5.8564453125,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,045,OL,,MATSON,CAROLINE,30,14,1,4,1.467529296875,4.642578125,1.336181640625,4-6,3,3.845703125,4.845703125,3.5,3.642578125,5.642578125,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,050,OL,,ANGEL,EITAN,126,45,1,3.48876953125,1.2724609375,3.7041015625,1.455810546875,4-6,3.0888671875,3.13330078125,3.5107421875,3.55517578125,3.533203125,5.5107421875,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1071,051,OL,,PULLINS,MARK,35,9,1,4.2216796875,0.833251953125,4.2216796875,1.20166015625,4-6,3.3330078125,3.77734375,4.4443359375,4,4.2216796875,5.3330078125,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
